Serial,file,document_type,title,theme,year,link,Summary
1063,1063_document.pdf,Interview,Perspectives of the Producer: The Challenges of Sustainable Agriculture in the Cerrado of Western Bahia,Food & Agriculture,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1063_document.pdf,"Jarbas Bergamaschi, farmer of Fazenda Sama, discusses sustainable practices in Bahia's Cerrado, emphasizing soil preservation, native vegetation, and legal compliance. He highlights direct seeding, water-efficient irrigation, and conservation tillage, while noting export markets for soy and domestic markets for wheat, sorghum, and corn. He stresses technology, market recognition"
1064,1064_document.pdf,Report,Perspectives Forestry and biodiversity issues in Brazil,Biodiversity,2004,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1064_document.pdf,"Forests in Brazil drive economic growth, biodiversity, and community livelihoods, yet face deforestation pressures. The 2004 Young Managers Team examined forestry projects, highlighting successful practices, stakeholder engagement,"
1065,1065_document.pdf,Report,Perspectives on Forestry and Biodiversity Issues in Brazil: Young Managers Team 2004,Forestry,2004,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1065_document.pdf,"Brazilian forestry faces economic, environmental, and social challenges; the 2004 Young Managers Team examined sustainable development, gathering companies, NGOs, and government to share best practices. They highlighted stakeholder engagement, local community involvement, transparent goals, and funding mechanisms, emphasizing that profit and biodiversity can coexist through transparent, measurable, and communityâ€‘centric initiatives."
1066,1066_document.pdf,Overview Report,Overview Pharmaceutical sector: Priority actions towards a nature-positive future,Nature,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1066_document.pdf,"Pharmaceuticals must address nature impacts by reducing water use, limiting API pollution, cutting emissions, sourcing responsibly, and cutting solid waste, while engaging suppliers, regulators, and communities to achieve scienceâ€‘based targets and circularity, thereby safeguarding ecosystems, improving public health, and aligning with the Kunmingâ€‘Montreal Biodiversity Framework for a natureâ€‘positive future today."
1067,1067_document.pdf,Case study,Toward sustainable tobacco sourcing: PMI partnerships in Malawi,Sustainable Production,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1067_document.pdf,"Philip Morris International partners with local suppliers and NGOs in Malawi to reduce deforestation from firewood-curing tobacco, improve water access, eliminate child labour, and diversify crops. The initiative maps risks, trains stakeholders, and promotes sustainable fuelwood sourcing, biodiversity, and food security, aiming to sustain the"
1068,1068_document.pdf,Case study,PIRELLIâ€™S MOBILITY SURVEY Summary,Mobility,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1068_document.pdf,"Pirelli conducts periodic mobility surveys to gauge employee commuting habits and sustainable mobility preferences, revealing 55% use private cars, 35% public transport, and highlighting safety and lane deficits as barriers to cycling. Findings inform infrastructure collaboration, bike lane expansion, and company carâ€‘sharing initiatives, guiding sustainability strategy for future growth efforts."
1069,1069_document.pdf,Case study,PIRELLIâ€™S COMPANY BIKE SHARING Summary,Mobility,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1069_document.pdf,"Pirelli launched a bikeâ€‘sharing service at its Milan headquarters, offering employees eâ€‘bikes to promote sustainable commuting. The pilot, driven by a 2019 mobility survey, saw high enthusiasm and an 8.7/10 NPS. Success led to Cyclâ€‘e Around, a scalable rental platform now serving other corporates and hotels for employees in Milan."
1070,1070_document.pdf,Infographic,Global Roadmap to Net Zero OUR COMMITMENT TO A SUSTAINABLE FUTURE FOR ALL,Decarbonisation,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1070_document.pdf,"The document outlines a global roadmap to net zero, committing to scienceâ€‘based 2030 targets: 46% Scope 1 & 2 reduction, 28% Scope 3 foodâ€‘drink reduction, 50% food waste cut, and carbon neutrality by 2030. Actions include electric fleet, renewable electricity, regenerative sourcing, deforestation"
1071,1071_document.pdf,Research Paper,"Ploughing effects on soil organic matter after twenty years of conservation tillage in Lower Saxony, Germany",Food & Agriculture,1999,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1071_document.pdf,"Conservation tillage concentrates soil organic matter at the surface, improving quality and reducing CO2 emissions. After twenty years, ploughing a former minimum tillage field in Lower Saxony disrupted stratification, decomposing labile carbon and nitrogen. Microbial biomass decreased in top layers but increased deeper, indicating rapid loss of accumulated organic matter."
1072,1072_document.pdf,Market Review,EEB - Market Review â€“ Poland,Energy Efficiency in Buildings,2014,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1072_document.pdf,The report examines
1073,1073_document.pdf,Report,Policies for Indiaâ€™s global leadership on EV adoption: Accelerating commercial fleet electrification and attracting private investments in charging,Mobility,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1073_document.pdf,"Indiaâ€™s electricâ€‘vehicle policy paper outlines a national ambition to lead global EV adoption, emphasizing commercial fleet electrification, charging infrastructure, and shared mobility. It presents consensusâ€‘based recommendations for sectorâ€‘wide, chargingâ€‘specific, and useâ€‘case policies, urging clearer regulations, incentive expansion, renewableâ€‘powered charging, and publicâ€‘private collaboration to accelerate sustainable mobility in India by 2030."
1074,1074_document.pdf,Policy Document,Policy recommendations to accelerate hydrogen deployment for a 1.5Â°C scenario,Decarbonisation,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1074_document.pdf,"Hydrogen deployment must be accelerated through clear national roadmaps, lowâ€‘carbon intensity targets, and longâ€‘term carbon pricing that makes hydrogen competitive; governments should embed hydrogen in decarbonization strategies, provide financial support, harmonize safety standards, and create a verifiable certification system to ensure lowâ€‘carbon production and foster global market growth and effectiveness"
1075,1075_document.pdf,Report,Policy and Regulatory Framework to Accelerate Energy Storage Deployment in India,Energy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1075_document.pdf,"The brief outlines businessâ€‘driven policy recommendations to accelerate Indiaâ€™s energy storage deployment, emphasizing strict compliance frameworks, reduced import duties, climateâ€‘specific safety standards, ancillary services market reforms, gridâ€‘planning integration, endâ€‘ofâ€‘life reuse norms, and supplyâ€‘chain security studies, aiming to support renewable targets and grid stability by 2030 for future energy transition success."
1076,1076_document.pdf,Report,Policy enablers to accelerate the circular economy Scaling up actions across regions and stakeholders,Circular Economy,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1076_document.pdf,"The report examines three circularâ€‘economy policiesâ€”EUâ€™s Circular Economy Package, the Netherlands Green Deals, and Chinaâ€™s VAT incentivesâ€”identifying four key enablers: incentive mechanisms, partnerships, aligning circularity in mainstream policies, and traceable actions and targets. It offers lessons for scaling circular actions, fostering collaboration, and replicating enablers across regions to accelerate change."
1077,1077_document.pdf,Report,Sustainable Mobility: Policy Making for Data Sharing,Mobility,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1077_document.pdf,"This report outlines a global policy framework for data sharing in sustainable urban mobility, detailing five intervention layersâ€”collection, standards, infrastructure, governance, and useâ€”along with 33 suggestions, 10 case studies, and six recommendations, aiming to harmonize data ecosystems, protect privacy, reduce bias, and enable shared value for public and private sectors."
1078,1078_document.pdf,Brief,Business Breakthrough Barometer 2025   Briefing for Policymakers,Decarbonisation,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1078_document.pdf,"Business Breakthrough Barometer 2025 surveys 300+ executives across 50+ countries, revealing that 91% maintain or increase netâ€‘zero investments while 50% report declining confidence in government support. It highlights seven critical sectorsâ€”power, road transport, steel, cement, buildings, hydrogen, fertilizersâ€”and urges finance, demand creation, and standards policies to accelerate transition for businesses."
1079,1079_document.pdf,Brochure,POOL CAR SUSTAINABLE CORPORATE MOBILITY USE CASES DESCRIPTION,Mobility,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1079_document.pdf,"Pool car programs give employees flexible vehicle access, reducing ownership and parking needs. Companies offer booking systems, often using electric vehicles to lower emissions. Benefits include improved wellâ€‘being and sustainability, though high costs and low usage can limit impact. Monitoring"
1080,1080_document.pdf,Framework Document,Portfolio Sustainability Assessment v2.0,Circular Economy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1080_document.pdf,"The Portfolio Sustainability Assessment v2.0 framework, developed by leading chemical companies, guides portfolio evaluation across products, services, and innovation. It integrates market signals, circularity, regulatory trends, and riskâ€‘opportunity analysis to improve sustainability performance, support decisionâ€‘making, and enable transparent reporting, while balancing stakeholder needs and forwardâ€‘looking insights for future growth impact."
1082,1082_document.pdf,Brochure,From Risk to Resilience: Landscape-Scale Solutions for Sustainable Commodity Production in the Cerrado,Sustainable Production,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1082_document.pdf,"The document outlines the Soft Commodities Forumâ€™s initiative to scale sustainable Cerrado landscapes, detailing investments, pilot results, and regional clusters in Mato Grosso, MaranhÃ£o, Tocantins, and Bahia, while highlighting progress in deforestation reduction, DCF soybean production, and upcoming London Climate Action Week workshops to attract further finance and partners today."
